date,name,amount,category,user_id
9/12/2025,INTERNET PAYMENT THANK YOU,500,Payment,3
9/12/2025,UNI OF SOUTH FL BKST20 TAMPA         FL,-86,Miscellaneous,3
9/15/2025,FUJI SUSHI STEAKHOUSE  SARASOTA      FL,-28.68,Dining,3
9/15/2025,HARD ROCK STADIUM REST MIAMI         FL,-19.44,Dining,3
9/15/2025,HARD ROCK STADIUM REST MIAMI         FL,-12,Dining,3
9/15/2025,GOOGLE *Google One     855-836-3987  CA,-1.99,Entertainment,3
9/17/2025,CFX MOBILE PAY         clover.com    FL,-50,Travel,3
9/22/2025,SQ *SAFEWAY PARKING LL Tampa         FL,-10.5,Travel,3
9/22/2025,WAL-MART #5036         TAMPA         FL,-10.48,Wholesale,3
9/22/2025,COSTCO WHSE#1249       LUTZ          FL,-89.35,Wholesale,3
9/23/2025,ASIAN WOK              TEMPLE TERR   FL,-44.3,Dining,3
9/23/2025,COSTCO WHSE#1249       LUTZ          FL,-39.38,Wholesale,3
9/23/2025,COSTCO WHSE#1249       LUTZ          FL,-4.27,Wholesale,3
9/23/2025,SUNSHINE THRIFT STORE  TAMPA         FL,-6.44,Merchandise,3
9/23/2025,LINGS DUMPLINGS        727-4526984   FL,-27.84,DIning,3
9/25/2025,HELP.HBOMAX.COM        HBOMAX.COM    NY,-5.66,Entertainment,3
9/26/2025,SPOTHERO 844-356-8054  SPOTHERO.COM  IL,-23.96,Travel,3
9/29/2025,MICHIGAN RENAISSANCE F HOLLY         MI,-9,Miscellaneous,3
9/30/2025,CCB MADISON            TAMPA         FL,-4.29,Dining,3
9/30/2025,Thales IFEC            Irvine        CA,-12.99,Internet,3
10/3/2025,USF BULLS PHARMACY     TAMPA         FL,-6.26,Drugstores,3
10/6/2025,PAYMENT   THANK YOU,40,Payment,3
10/6/2025,WINGS XPRESS           TAMPA         FL,-13.34,Dining,3
